Бальный зал,предмет,1920х1048,x,y
1,Бант,,1327,769
2,Ангел,,939,475
3,Цилиндр,,500,872
4,Бутылка,,455,623
5,Песочные часы,,931,834
6,Зонт,,1104,616
,,,,
1,лошадь,,1188,545
2,бинокль,,1064,826
3,Песочные часы,,596,435
4,свиток,,922,876
5,зеркальце,,1391,858
6,скрипка,,868,807
,,,,
7,зонт,,724,213
8,цилиндр,,682,862
9,туфелька,,1192,878
10,бант,,604,100
11,чайник,,1146,662
12,веер,,1080,480
,,,,
13,виноград,,1382,425
14,кошелек,,1325,341
15,чашка,,357,846
16,канделябр,,1325,430
17,книга,,468,825
18,колокольчик,,1006,644
,,,,
19,перо,,410,973
20,коралл,,700,770
21,диадема,,958,661
22,ангел,,834,164
23,бутылка,,1121,795
,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
